,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,PODD,Insulet Corporation,11.60B,-1.10%,733387,1.70B
86,SRPT,"Sarepta Therapeutics, Inc.",11.55B,-0.57%,1167326,1.24B
87,TECH,Bio-Techne Corporation,11.40B,1.83%,1621090,1.14B
88,UTHR,United Therapeutics Corporation,11.10B,-0.98%,823336,2.33B
89,NTRA,"Natera, Inc.",10.81B,2.06%,1915248,1.08B
90,RGEN,Repligen Corporation,10.59B,-1.89%,490351,638.76M
91,EXAS,Exact Sciences Corporation,10.48B,-1.40%,1714799,2.50B
92,SWAV,"ShockWave Medical, Inc.",10.25B,2.91%,704652,730.23M
93,CTLT,"Catalent, Inc.",10.16B,-0.85%,2272198,4.10B
94,TFX,Teleflex Incorporated,10.14B,-1.29%,266533,2.97B
95,THC,Tenet Healthcare Corporation,9.88B,-1.24%,1587698,20.56B
96,CHE,Chemed Corporation,9.78B,-0.47%,102036,2.26B
97,QGEN,Qiagen N.V.,9.75B,0.05%,751116,1.97B
98,HSIC,"Henry Schein, Inc.",9.58B,0.26%,1460913,12.34B
99,BIO.B,"Bio-Rad Laboratories, Inc.",9.50B,1.70%,3,-
100,BIO,"Bio-Rad Laboratories, Inc.",9.50B,0.33%,148643,2.67B
101,ATR,"AptarGroup, Inc.",9.31B,0.05%,264320,3.49B
102,PEN,"Penumbra, Inc.",8.60B,-3.22%,404407,1.06B
103,ASND,Ascendis Pharma A/S,8.42B,-0.79%,379918,296.35M
104,ROIV,Roivant Sciences Ltd.,8.17B,-0.88%,6831444,123.24M
105,STVN,Stevanato Group S.p.A.,7.96B,1.46%,213572,1.21B
106,ELAN,Elanco Animal Health Incorporated,7.75B,-0.19%,2059164,4.42B
107,CERE,"Cerevel Therapeutics Holdings, Inc.",7.69B,0.21%,2315539,-
108,PCVX,"Vaxcyte, Inc.",7.56B,0.61%,1340740,-
109,JAZZ,Jazz Pharmaceuticals plc,7.54B,2.20%,1405102,3.83B
110,EHC,Encompass Health Corporation,7.49B,-0.48%,1234874,4.80B
111,ACHC,"Acadia Healthcare Company, Inc.",7.18B,-1.37%,1340317,2.93B
112,MASI,Masimo Corporation,7.02B,0.36%,890448,2.05B
113,HQY,"HealthEquity, Inc.",6.99B,-0.71%,845833,971.04M
114,EXEL,"Exelixis, Inc.",6.97B,1.64%,4563606,1.83B
115,GMED,"Globus Medical, Inc.",6.96B,-0.91%,1580968,1.57B
116,ENSG,"The Ensign Group, Inc.",6.95B,0.58%,589244,3.73B
117,APLS,"Apellis Pharmaceuticals, Inc.",6.84B,0.46%,1009842,396.59M
118,XRAY,DENTSPLY SIRONA Inc.,6.81B,-0.42%,4125982,3.97B
119,VKTX,"Viking Therapeutics, Inc.",6.75B,-3.83%,9320541,-
120,CYTK,"Cytokinetics, Incorporated",6.71B,2.26%,20953124,7.53M
121,ITCI,"Intra-Cellular Therapies, Inc.",6.27B,0.33%,1007907,464.37M
122,IONS,"Ionis Pharmaceuticals, Inc.",6.20B,0.88%,1080263,787.65M
123,CRSP,CRISPR Therapeutics AG,5.86B,1.31%,1936287,371.21M
124,INSP,"Inspire Medical Systems, Inc.",5.70B,0.39%,237302,624.80M
125,RCM,R1 RCM Inc.,5.68B,-1.10%,3657069,2.25B
126,BLCO,Bausch + Lomb Corporation,5.67B,0.50%,225934,4.15B
127,BPMC,Blueprint Medicines Corporation,5.54B,3.18%,1120059,249.38M
128,OPCH,"Option Care Health, Inc.",5.42B,-1.82%,2800869,4.30B
129,MDGL,"Madrigal Pharmaceuticals, Inc.",5.38B,11.00%,2752926,-
130,RVMD,"Revolution Medicines, Inc.",5.24B,-0.47%,4084184,11.58M
131,DOCS,"Doximity, Inc.",5.20B,0.11%,981283,468.33M
132,HALO,"Halozyme Therapeutics, Inc.",5.18B,0.17%,1634097,829.25M
133,NUVL,"Nuvalent, Inc.",5.18B,-4.49%,1200162,-
134,BBIO,"BridgeBio Pharma, Inc.",5.08B,0.77%,2006067,9.30M
135,GRFS,"Grifols, S.A.",4.98B,6.42%,3763794,6.45B
136,KRYS,"Krystal Biotech, Inc.",4.89B,0.66%,992469,50.70M
137,ALKS,Alkermes plc,4.80B,-0.45%,7259583,1.66B
138,OGN,Organon & Co.,4.67B,-0.44%,2257481,6.26B
139,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,4.60B,1.15%,1033970,-
140,IMVT,"Immunovant, Inc.",4.44B,-0.55%,1626062,-
141,TXG,"10x Genomics, Inc.",4.33B,-2.39%,993633,618.73M
142,GKOS,Glaukos Corporation,4.23B,-0.34%,399788,314.71M
143,MMSI,"Merit Medical Systems, Inc.",4.16B,-0.10%,669179,1.26B
144,PRGO,Perrigo Company plc,4.12B,-1.62%,4193525,4.66B
145,SHC,Sotera Health Company,4.11B,2.40%,2673508,1.05B
146,ALVO,Alvotech,4.07B,-0.13%,203830,63.75M
147,LNTH,"Lantheus Holdings, Inc.",3.99B,-2.77%,1330532,1.30B
148,RARE,Ultragenyx Pharmaceutical Inc.,3.90B,1.54%,1720919,434.25M
149,IOVA,"Iovance Biotherapeutics, Inc.",3.89B,-2.11%,17211547,1.19M
150,INSM,Insmed Incorporated,3.82B,-2.24%,2403472,305.21M
151,ITGR,Integer Holdings Corporation,3.80B,-0.90%,166671,1.60B
152,HAE,Haemonetics Corporation,3.80B,-1.03%,455542,1.27B
153,ACLX,"Arcellx, Inc.",3.73B,1.51%,724748,110.32M
154,CBAY,"CymaBay Therapeutics, Inc.",3.72B,-0.06%,2766894,31.07M
155,EVH,"Evolent Health, Inc.",3.72B,-2.51%,846029,1.96B
156,SWTX,"SpringWorks Therapeutics, Inc.",3.71B,1.62%,1365866,5.45M
157,PBH,Prestige Consumer Healthcare Inc.,3.71B,0.88%,533121,1.13B
158,NVST,Envista Holdings Corporation,3.66B,-1.34%,2967380,2.57B
159,SEM,Select Medical Holdings Corporation,3.65B,0.92%,472996,6.66B
160,SGRY,"Surgery Partners, Inc.",3.60B,-0.97%,917777,2.74B
161,AXSM,"Axsome Therapeutics, Inc.",3.58B,8.32%,1586456,270.60M
162,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.50B,3.14%,3406393,181.74M
163,AXNX,"Axonics, Inc.",3.46B,-0.06%,429014,366.38M
164,IBRX,"ImmunityBio, Inc.",3.44B,4.48%,8577549,556.00K
165,PGNY,"Progyny, Inc.",3.39B,-0.65%,977770,1.09B
166,FOLD,"Amicus Therapeutics, Inc.",3.39B,-0.52%,5270728,399.36M
167,BHC,Bausch Health Companies Inc.,3.36B,1.21%,971048,8.76B
168,AZTA,"Azenta, Inc.",3.32B,0.42%,1695565,641.02M
169,XENE,Xenon Pharmaceuticals Inc.,3.32B,0.66%,249741,-
170,IDYA,"IDEAYA Biosciences, Inc.",3.30B,-1.12%,1476821,23.39M
171,NEOG,Neogen Corporation,3.29B,-0.46%,2787679,918.68M
172,RDNT,"RadNet, Inc.",3.28B,1.32%,1125608,1.62B
173,SMMT,Summit Therapeutics Inc.,3.24B,-2.74%,9375311,-
174,QDEL,QuidelOrtho Corporation,3.24B,1.96%,1314241,3.00B
175,OSCR,"Oscar Health, Inc.",3.18B,-0.57%,1820822,5.86B
176,IRTC,"iRhythm Technologies, Inc.",3.16B,-2.73%,645884,492.68M
177,ARVN,"Arvinas, Inc.",3.05B,0.29%,1898893,78.50M
178,ACAD,ACADIA Pharmaceuticals Inc.,3.04B,-1.33%,3560924,726.44M
179,AMED,"Amedisys, Inc.",3.04B,0.46%,394478,2.24B
180,CRNX,"Crinetics Pharmaceuticals, Inc.",3.03B,1.88%,1698051,4.01M
181,IMCR,Immunocore Holdings plc,3.03B,1.15%,267394,249.43M
182,HCM,HUTCHMED (China) Limited,3.01B,4.95%,144525,838.00M
183,OLK,Olink Holding AB (publ),2.98B,-0.08%,381329,158.93M
184,MLTX,MoonLake Immunotherapeutics,2.97B,7.93%,766057,-
185,CERT,"Certara, Inc.",2.95B,-1.02%,960160,354.34M
186,INDV,Indivior PLC,2.85B,-,128234,1.09B
187,BEAM,Beam Therapeutics Inc.,2.83B,2.31%,2725500,377.71M
188,DNLI,Denali Therapeutics Inc.,2.80B,1.92%,2108786,330.53M
189,CLDX,"Celldex Therapeutics, Inc.",2.76B,-1.20%,1849073,6.88M
190,LIVN,LivaNova PLC,2.73B,-1.02%,671567,1.15B
191,GDRX,"GoodRx Holdings, Inc.",2.73B,2.07%,1526528,750.27M
192,NTLA,"Intellia Therapeutics, Inc.",2.72B,2.83%,1928881,36.28M
193,MOR,MorphoSys AG,2.72B,-0.56%,392459,264.75M
194,IART,Integra LifeSciences Holdings Corporation,2.71B,-0.43%,913002,1.54B
195,RXRX,"Recursion Pharmaceuticals, Inc.",2.63B,4.08%,10838056,44.58M
196,CGON,"CG Oncology, Inc.",2.56B,3.55%,3704419,191.00K
197,MRUS,Merus N.V.,2.56B,-1.57%,562418,43.95M
198,EVO,Evotec SE,2.54B,-2.55%,38478,-
199,PINC,"Premier, Inc.",2.53B,0.05%,8279049,1.32B
200,TDOC,"Teladoc Health, Inc.",2.53B,1.89%,2642782,2.60B
201,FTRE,Fortrea Holdings Inc.,2.49B,0.38%,1078220,3.11B
202,TMDX,"TransMedics Group, Inc.",2.48B,-3.65%,898770,241.62M
203,KYMR,"Kymera Therapeutics, Inc.",2.48B,2.71%,1803813,78.59M
204,PDCO,"Patterson Companies, Inc.",2.44B,1.45%,2524561,6.57B
205,RCKT,"Rocket Pharmaceuticals, Inc.",2.43B,-1.72%,1879892,-
206,PRCT,PROCEPT BioRobotics Corporation,2.43B,-0.21%,469785,136.19M
207,KROS,"Keros Therapeutics, Inc.",2.42B,3.89%,1397248,151.00K
208,LFST,"LifeStance Health Group, Inc.",2.42B,-0.31%,1213062,1.06B
209,PRVA,"Privia Health Group, Inc.",2.41B,-0.39%,1389559,1.66B
210,RYTM,"Rhythm Pharmaceuticals, Inc.",2.41B,-0.05%,1529709,77.43M
211,CORT,Corcept Therapeutics Incorporated,2.40B,-1.86%,1592645,482.38M
212,ALPN,"Alpine Immune Sciences, Inc.",2.38B,1.37%,3340524,30.80M
213,CNMD,CONMED Corporation,2.38B,-1.61%,521743,1.24B
214,ICUI,"ICU Medical, Inc.",2.37B,-0.60%,275369,2.26B
215,NARI,"Inari Medical, Inc.",2.36B,-0.20%,1108374,493.63M
216,NMRA,"Neumora Therapeutics, Inc.",2.35B,-0.26%,607583,-
217,TGTX,"TG Therapeutics, Inc.",2.35B,-0.91%,3760448,233.66M
218,DNA,"Ginkgo Bioworks Holdings, Inc.",2.32B,1.89%,24886910,251.46M
219,VERA,"Vera Therapeutics, Inc.",2.32B,-0.57%,1396496,-
220,DYN,"Dyne Therapeutics, Inc.",2.29B,4.91%,4070056,-
221,GLPG,Galapagos NV,2.28B,-0.53%,118172,-
222,PTCT,"PTC Therapeutics, Inc.",2.26B,2.28%,2000708,937.82M
223,AMN,"AMN Healthcare Services, Inc.",2.22B,2.42%,2951767,3.79B
224,AGL,"agilon health, inc.",2.18B,1.72%,2531669,4.32B
225,GH,"Guardant Health, Inc.",2.16B,-3.43%,2305548,563.95M
226,VCEL,Vericel Corporation,2.14B,0.11%,1073936,197.52M
227,AMPH,"Amphastar Pharmaceuticals, Inc.",2.07B,-0.32%,584514,644.40M
228,JANX,"Janux Therapeutics, Inc.",2.04B,4.45%,795498,8.08M
229,SNDX,"Syndax Pharmaceuticals, Inc.",2.00B,3.84%,3130860,-
230,AGE,"AgeX Therapeutics, Inc.",1.96B,24.44%,24198,94.00K
231,SANA,"Sana Biotechnology, Inc.",1.96B,-1.88%,2381015,-
232,OMI,"Owens & Minor, Inc.",1.95B,1.92%,714839,10.33B
233,RNA,"Avidity Biosciences, Inc.",1.95B,1.88%,1683646,9.56M
234,TWST,Twist Bioscience Corporation,1.94B,-2.66%,928479,262.36M
235,NAMS,NewAmsterdam Pharma Company N.V.,1.94B,0.46%,35412,15.66M
236,MRVI,"Maravai LifeSciences Holdings, Inc.",1.94B,5.34%,6647975,288.95M
237,MYGN,"Myriad Genetics, Inc.",1.90B,-0.75%,1780616,753.20M
238,AKRO,"Akero Therapeutics, Inc.",1.90B,0.62%,5108293,-
239,CPRX,"Catalyst Pharmaceuticals, Inc.",1.89B,-0.74%,2974678,398.20M
240,ARDX,"Ardelyx, Inc.",1.88B,0.87%,10954818,124.46M
241,SDGR,"Schrödinger, Inc.",1.88B,1.13%,1135535,216.67M
242,TNDM,"Tandem Diabetes Care, Inc.",1.88B,2.21%,1135360,747.72M
243,NEO,"NeoGenomics, Inc.",1.87B,-0.27%,1340500,591.64M
244,ZLAB,Zai Lab Limited,1.87B,-5.52%,536027,266.72M
245,ASTH,"Astrana Health, Inc.",1.86B,-0.52%,316052,1.39B
246,STAA,STAAR Surgical Company,1.84B,-0.82%,938641,322.42M
247,GERN,Geron Corporation,1.83B,92.00%,110776691,237.00K
248,HRMY,"Harmony Biosciences Holdings, Inc.",1.82B,1.98%,1279905,582.02M
249,PROK,ProKidney Corp.,1.81B,3.68%,608870,-
250,ATEC,"Alphatec Holdings, Inc.",1.81B,-1.95%,2104977,482.26M
251,SUPN,"Supernus Pharmaceuticals, Inc.",1.81B,-1.17%,638025,607.52M
252,INMD,InMode Ltd.,1.76B,-1.97%,1895496,492.05M
253,RXST,"RxSight, Inc.",1.75B,2.14%,580877,89.08M
254,MORF,"Morphic Holding, Inc.",1.73B,0.03%,657772,521.00K
255,RCUS,"Arcus Biosciences, Inc.",1.72B,3.60%,684724,117.00M
256,KURA,"Kura Oncology, Inc.",1.70B,1.64%,3013503,-
257,PTGX,"Protagonist Therapeutics, Inc.",1.69B,2.22%,1329441,60.00M
258,AMRX,"Amneal Pharmaceuticals, Inc.",1.69B,2.04%,1704981,2.39B
259,AGIO,"Agios Pharmaceuticals, Inc.",1.68B,1.63%,1186888,26.82M
260,INBX,"Inhibrx, Inc.",1.66B,0.03%,1493272,1.80M
261,GPCR,Structure Therapeutics Inc.,1.64B,0.20%,342238,-
262,APGE,"Apogee Therapeutics, Inc.",1.62B,4.79%,3227029,-
263,USPH,"U.S. Physical Therapy, Inc.",1.61B,0.13%,74913,604.80M
264,VCYT,"Veracyte, Inc.",1.58B,-0.75%,2382910,361.05M
265,TARO,Taro Pharmaceutical Industries Ltd.,1.58B,0.10%,36124,610.83M
266,EWTX,"Edgewise Therapeutics, Inc.",1.58B,-0.88%,3687259,-
267,DVAX,Dynavax Technologies Corporation,1.57B,0.25%,5254674,232.28M
268,ADUS,Addus HomeCare Corporation,1.57B,-1.32%,174860,1.06B
269,FDMT,"4D Molecular Therapeutics, Inc.",1.57B,7.29%,1491821,20.72M
270,ATRC,"AtriCure, Inc.",1.53B,-1.17%,647511,399.25M
271,NVCR,NovoCure Limited,1.50B,-4.31%,1110667,509.34M
272,LMAT,"LeMaitre Vascular, Inc.",1.49B,-0.98%,190721,193.48M
273,IRON,"Disc Medicine, Inc.",1.49B,-1.98%,1029208,-
274,UFPT,"UFP Technologies, Inc.",1.48B,0.71%,62867,400.07M
275,VIR,"Vir Biotechnology, Inc.",1.45B,2.28%,1402223,86.18M
276,AVDL,Avadel Pharmaceuticals plc,1.44B,-1.12%,685533,27.96M
277,NHC,National HealthCare Corporation,1.42B,-0.87%,216254,1.14B
278,IRWD,"Ironwood Pharmaceuticals, Inc.",1.41B,0.56%,14508337,442.74M
279,KNSA,"Kiniksa Pharmaceuticals, Ltd.",1.41B,-1.77%,730531,270.26M
280,XNCR,"Xencor, Inc.",1.41B,4.81%,2347553,168.34M
281,SLNO,"Soleno Therapeutics, Inc.",1.41B,3.16%,788147,-
282,BTSG,"BrightSpring Health Services, Inc.",1.41B,0.12%,10457696,8.83B
283,OCUL,"Ocular Therapeutix, Inc.",1.41B,2.16%,6825547,58.44M
284,PRTA,Prothena Corporation plc,1.40B,-1.55%,1464211,91.37M
285,ANIP,"ANI Pharmaceuticals, Inc.",1.39B,-0.08%,304759,486.82M
286,WRBY,Warby Parker Inc.,1.39B,0.17%,1378331,669.77M
287,ABCL,AbCellera Biologics Inc.,1.38B,0.21%,994527,38.03M
288,PCRX,"Pacira BioSciences, Inc.",1.37B,0.51%,1169594,674.98M
289,ADMA,"ADMA Biologics, Inc.",1.37B,-0.50%,3589760,258.22M
290,AHCO,AdaptHealth Corp.,1.37B,1.28%,1720348,3.20B
291,AUTL,Autolus Therapeutics plc,1.35B,2.11%,2005665,5.52M
292,AGTI,"Agiliti, Inc.",1.35B,0.20%,519012,1.17B
293,PHR,"Phreesia, Inc.",1.34B,4.76%,1228076,356.30M
294,ESTA,Establishment Labs Holdings Inc.,1.33B,1.50%,245339,165.15M
295,TLRY,"Tilray Brands, Inc.",1.31B,8.12%,21490514,700.50M
296,IMNM,"Immunome, Inc.",1.29B,0.18%,489527,10.19M
297,OMCL,"Omnicell, Inc.",1.27B,0.36%,1554978,1.15B
298,VRNA,Verona Pharma plc,1.26B,0.71%,263024,-
299,ETNB,"89bio, Inc.",1.26B,7.22%,4404437,-
300,DCPH,"Deciphera Pharmaceuticals, Inc.",1.26B,-2.01%,1326788,163.36M
301,LGND,Ligand Pharmaceuticals Incorporated,1.26B,-1.17%,745785,-
302,DAWN,"Day One Biopharmaceuticals, Inc.",1.26B,1.41%,1501965,-
303,PHVS,Pharvaris N.V.,1.26B,-1.39%,118279,-
304,COLL,"Collegium Pharmaceutical, Inc.",1.25B,2.79%,1276955,566.77M
305,MIRM,"Mirum Pharmaceuticals, Inc.",1.25B,-4.97%,2243798,186.37M
306,IMTX,Immatics N.V.,1.24B,0.08%,179831,80.56M
307,ARQT,"Arcutis Biotherapeutics, Inc.",1.23B,-2.56%,13994477,59.61M
308,KYTX,"Kyverna Therapeutics, Inc.",1.21B,0.58%,731413,7.03M
309,LQDA,Liquidia Corporation,1.21B,3.79%,1616867,17.49M
310,MNKD,MannKind Corporation,1.21B,-0.67%,4515807,198.96M
311,SAGE,"Sage Therapeutics, Inc.",1.20B,0.81%,1572365,86.46M
312,TARS,"Tarsus Pharmaceuticals, Inc.",1.18B,7.31%,730339,17.45M
313,MDXG,"MiMedx Group, Inc.",1.16B,1.03%,1739759,321.48M
314,VERV,"Verve Therapeutics, Inc.",1.15B,1.54%,3728372,11.76M
315,BLTE,"Belite Bio, Inc",1.14B,1.75%,29237,-
316,BKD,Brookdale Senior Living Inc.,1.14B,2.21%,2870954,3.02B
317,SLN,Silence Therapeutics plc,1.11B,-4.15%,217441,32.12M
318,RGNX,REGENXBIO Inc.,1.09B,1.56%,1028171,90.24M
319,VRDN,"Viridian Therapeutics, Inc.",1.07B,-0.93%,3550255,314.00K
320,EYPT,"EyePoint Pharmaceuticals, Inc.",1.07B,-1.20%,2774408,46.02M
321,CNTA,Centessa Pharmaceuticals plc,1.05B,2.67%,214985,-
322,RLAY,"Relay Therapeutics, Inc.",1.04B,-2.69%,3715780,25.55M
323,SRRK,Scholar Rock Holding Corporation,1.04B,-2.23%,4139731,-
324,BCRX,"BioCryst Pharmaceuticals, Inc.",1.03B,2.25%,9799248,331.41M
325,ORIC,"ORIC Pharmaceuticals, Inc.",1.02B,0.53%,2175504,-
326,ZNTL,"Zentalis Pharmaceuticals, Inc.",1.02B,1.52%,2306959,-
327,PACB,"Pacific Biosciences of California, Inc.",1.02B,-3.07%,6483493,200.52M
328,QTRX,Quanterix Corporation,1.01B,0.64%,382964,122.37M
329,MGNX,"MacroGenics, Inc.",994.54M,-0.81%,4213605,58.75M
330,SYRE,"Spyre Therapeutics, Inc.",990.58M,8.23%,1789847,886.00K
331,ARCT,Arcturus Therapeutics Holdings Inc.,977.29M,-0.16%,694506,166.80M
332,NRC,National Research Corporation,947.02M,0.08%,75605,148.58M
333,TVGN,Tevogen Bio Holdings Inc,945.50M,-5.08%,32257,-
334,ALHC,"Alignment Healthcare, Inc.",943.00M,3.53%,1678286,1.82B
335,CRGX,"CARGO Therapeutics, Inc.",941.12M,11.36%,3748563,-
336,INVA,"Innoviva, Inc.",939.56M,0.95%,1891657,310.46M
337,DH,Definitive Healthcare Corp.,928.83M,-2.47%,591540,251.42M
338,TNGX,"Tango Therapeutics, Inc.",920.97M,-0.66%,3180688,37.51M
339,SAVA,"Cassava Sciences, Inc.",920.26M,2.90%,608702,-
340,TYRA,"Tyra Biosciences, Inc.",916.03M,-1.41%,371777,-
341,PLRX,"Pliant Therapeutics, Inc.",915.03M,1.95%,577280,1.58M
342,CTKB,"Cytek Biosciences, Inc.",909.23M,1.91%,1224562,193.02M
343,BCYC,Bicycle Therapeutics plc,900.04M,3.57%,156277,26.98M
344,HCSG,"Healthcare Services Group, Inc.",890.36M,-0.17%,992187,1.67B
345,AVNS,"Avanos Medical, Inc.",882.02M,0.58%,308274,673.30M
346,SPRY,"ARS Pharmaceuticals, Inc.",879.33M,1.78%,2225439,1.35M
347,HLVX,"HilleVax, Inc.",871.87M,1.69%,224212,-
348,SLP,"Simulations Plus, Inc.",860.38M,0.84%,122448,62.11M
349,EOLS,"Evolus, Inc.",854.82M,-1.21%,495870,202.09M
350,ATXS,"Astria Therapeutics, Inc.",848.80M,5.82%,4877930,-
351,EXAI,Exscientia plc,824.60M,-0.75%,3279435,29.47M
352,AORT,"Artivion, Inc.",814.20M,-1.69%,254309,354.00M
353,PRME,"Prime Medicine, Inc.",804.19M,3.99%,970912,-
